Product_ID,Product Name,Company,Listing Price,Sale Price,Rating,Discount %,value,Description
AQ2567-002,Nike Air Max Tailwind IV,Nike,140,84,5.0,40,28.0,The Nike Air Max Tailwind IV gives a new look to the '90s classic. Max Air units give you comfort and style that last.
844127-108,Nike Potential 3,Nike,45,45,5.0,0,9.0,The Nike Potential 3 Unisex Cricket Shoe delivers lightweight cushioning and superb grip on the field with a Phylon midsole and rubber outsole.
AT7993-414,Nike Mercurial Vapor 13 Academy IC,Nike,75,52,3.561158724717176,30,21.0,"The soft upper of the Nike Mercurial Vapor 13 Academy IC wraps your foot for a second-skin fit, while the rubber outsole helps supercharge traction on the court or street."
CK3309-001,Nike x Olivia Kim Air Max 98,Nike,160,112,4.5,30,36.0,"NYC in the '90s—if you spent much time in one of the many neighbourhoods, you'd hear SUVs driving around bumping Jamaican dancehall music at full blast. The Nike x Olivia Kim Air Max 98 celebrates the music and culture of NYC as remembered by designer Olivia. The fresh red-yellow-green take on the iconic Air Max 98 captures the vibrancy of the city's Rastafarian community."
749747-010,NikeCourt Royale,Nike,45,36,1.5,20,30.0,"Taking inspiration from the archives, the NikeCourt Royale Men's Shoe brings retro tennis style in a modern package for everyday comfort."
634835-108,Nike Air Huarache,Nike,90,90,4.5,0,20.0,"Designed to stretch with your foot, the Nike Air Huarache Women's Shoe has remained a sneaker staple since its 1991 debut, when it changed the face of running footwear forever."
366731-100,Nike Air Force 1 Mid '07,Nike,79,63,3.8,20,21.0,"The legend lives on in the Nike Air Force 1 Mid '07 Women's Shoe, a modern take on the icon that blends classic style and fresh, crisp details."
CD3398-063,Nike Metcon 5 AMP,Nike,120,120,3.561158724717176,0,34.0,The Nike Metcon 5 AMP arms you with stability for heavy lifting and traction for sprints during high-impact training. It combines breathability and durability to be your secret weapon in the gym.
CT5064-001,Nike Air Max 270 React,Nike,140,140,3.561158724717176,0,39.0,"The Nike Air Max 270 React updates a classic with iridescent details, Nike React foam in the midsole and Max Air cushioning in the heel."
BQ4424-700,Nike Air Force 1 '07 Premium,Nike,110,77,5.0,30,22.0,"The Nike Air Force 1 '07 Premium captures the iconic look of its 1982 predecessor, with full-length cushioning for comfort and premium detailing that honours the original. A rich mix of materials gives an eye-catching look that's ready to hit the streets."
AV4417-002,Nike Air Max 98 LX,Nike,160,128,4.5,20,36.0,"Always one step ahead, the Nike Air Max 98 LX features the OG design lines that were inspired by the walls of the Grand Canyon while stepping into the future with a colourful medley of recycled materials on the upper. The fluid, textured look and full-length Nike Air cushioning set you apart as you turn waste into style."
AO0571-606,Nike Phantom Venom Academy TF,Nike,75,75,5.0,0,15.0,"The Nike Phantom Venom Academy TF is engineered for powerful, precise strikes that win games. Ridges on the instep help create spin to control the flight of the ball. The sole provides the turf traction needed to unleash at any moment."
AT6174-004,Nike Air Max 270 React,Nike,130,78,4.2,40,31.0,"The bold silhouette of Nike Air lifts the Nike Air Max 270 React to new heights, while the Nike React foam midsole delivers exceptional cushioning. Imagine all-day comfort with unstoppable style."
AR7718-001,Nike SB Zoom Stefan Janoski Canvas RM,Nike,70,70,3.4,0,21.0,"The Nike SB Zoom Stefan Janoski Canvas RM pairs a minimal look with a modern fit. It has been updated with a new, plush sockliner and a flexible midsole for better boardfeel right out of the box."
AQ7488-004,Nike Flex Contact 3,Nike,60,42,3.561158724717176,30,17.0,"The Nike Flex Contact 3 gives you the benefit of laces without the hassle of tying them. An elastic, slip-on lacing system pairs with a floating heel strap for pressure-free support. A knit upper adds stretch, while the outsole with heel-to-toe grooves follows the natural flow of your foot."
AV4126-002,Jordan 'Why Not?' Zer0.2 SE PF,Nike,110,110,3.0,0,37.0,"Why not take the shot? Why not attack the full length of the court? Why not crash the boards and steal every ball and rain assists like water? The Jordan 'Why Not?' The Zer0.2 SE PF celebrates Russell Westbrook's calculated chaos by combining materials that work in lightweight harmony—because, well, why not?"
CK2085-002,Nike Shox TL Nova SP,Nike,150,150,5.0,0,30.0,"The 2003 icon returns with new upgrades. Fearless on the streets, the Nike Shox TL Nova takes mechanical cushioning to the next level. A modernised upper combines with Nike Shox columns for a new era."
